Date,h0,h1,h2,h3,h4,h5,h6,h7,h8,h9,h10,h11,h12,h13,h14,h15,h16,h17,h18,h19,h20,h21,h22,h23
2015-01-04,39.978836,36.206802,33.490383,30.401833,28.472301,27.122543,27.44535,29.90323,32.77634,36.339584,39.83886,41.88493,42.63758,41.88424,39.959118,38.57001,40.03963,45.299145,50.956036,52.159016,49.77311,47.227966,45.83146,43.74085
2015-01-05,40.215805,36.677834,33.56743,30.570133,30.385033,34.151283,41.9556,48.89543,52.36883,53.24472,53.4327,53.03192,52.16385,50.702217,48.779827,48.50798,51.386414,57.31878,61.64917,59.596825,53.611774,48.96637,47.667526,47.163548
2015-01-06,43.903088,41.429886,38.56206,35.35176,34.589317,38.096886,44.964413,51.140114,54.065823,54.40678,53.893093,52.585762,51.534306,50.286438,48.16183,47.10903,49.179195,55.454674,60.22886,58.15097,52.25533,47.983665,47.19347,47.22526
2015-01-07,43.138664,40.77,38.21398,35.13558,33.966663,36.704254,42.860584,49.213017,52.543125,53.3041,53.243324,52.846287,52.1427,50.753433,48.38225,46.4912,47.26728,52.321884,56.8571,55.38826,50.320923,46.320404,45.77889,45.846863
2015-01-08,42.094063,40.03038,37.74391,34.991875,33.7893,36.468433,42.344257,48.1805,50.941753,51.198456,50.685432,50.43127,50.01602,48.89517,46.823574,44.858902,45.515053,50.13768,54.141113,52.446045,47.4607,44.000546,43.52704,43.482273
2015-01-09,40.00505,37.23873,35.1836,32.779068,31.886929,35.0888,40.997425,46.407475,48.582443,48.76697,48.562447,48.61101,47.96375,46.50627,44.198833,42.01609,42.665504,46.90202,50.421318,48.177254,43.502033,41.288563,41.34049,40.655773
2015-01-10,31.461432,27.782774,24.824278,22.363503,21.012259,22.467922,25.723494,29.065681,31.745243,34.340855,36.446003,38.35862,38.17722,36.56331,33.87877,32.415855,34.263176,38.77183,42.10125,40.536953,36.58821,34.792896,34.820374,33.139587
2015-01-11,33.01853,28.843746,25.854128,22.940275,21.380295,21.192,22.760937,25.737232,29.399715,32.9501,36.585144,39.23554,39.897797,38.656162,36.01724,34.64618,36.68197,41.73434,46.183205,46.422226,43.556656,41.96713,41.28369,39.11087
2015-01-12,33.778576,30.492401,27.917067,25.042091,24.669275,29.046421,36.82961,44.373913,48.394913,49.38868,49.816174,49.84333,49.360954,48.027626,45.745586,43.966805,45.48872,50.292595,54.161453,51.61149,45.99616,42.432213,42.083035,40.91503
2015-01-13,34.613613,31.322845,28.670849,25.915607,25.701706,30.294554,37.971413,44.63132,47.282146,47.633263,47.55836,47.50408,47.00095,45.884808,43.77947,42.027073,43.460865,48.363533,51.97608,49.132233,43.51921,40.458916,40.279495,39.24057
2015-01-14,34.64396,31.287918,28.53843,25.653864,25.189657,29.672525,37.23532,44.051945,47.101734,47.819546,47.86379,47.997925,47.539062,46.349968,44.12253,42.387844,43.77782,48.484894,51.88182,48.932327,43.54647,40.51327,40.360016,39.295174
