,h0,h1,h2,h3,h4,h5,h6,h7,h8,h9,h10,h11,h12,h13,h14,h15,h16,h17,h18,h19,h20,h21,h22,h23
2016-01-04,10.821257,7.711191,5.3819695,4.581003,5.745554,9.027781,15.497349,22.246265,26.010849,27.8191,29.653027,31.22444,32.0401,32.103184,32.867767,33.54097,36.101704,40.63999,43.672886,40.194595,35.26171,31.508022,29.076508,26.132772
2016-01-05,22.695557,21.085037,19.69627,18.901207,18.697132,20.305561,26.490038,33.638588,36.621315,35.930813,35.60881,35.704403,34.818375,34.089394,34.932774,36.401386,39.469135,43.72177,44.701157,40.193596,34.526463,30.937607,28.045591,24.723373
2016-01-06,25.509108,24.451828,23.632748,23.330257,22.655243,23.342455,28.571915,35.621174,38.707573,38.202934,38.027096,38.474438,38.03032,37.57233,38.249653,39.209877,41.95491,46.638344,48.407265,43.98428,37.68293,33.839687,30.771547,27.47708
2016-01-07,27.15738,25.02895,23.63863,23.298294,23.198156,23.792429,28.632105,35.209316,37.67545,36.45665,35.22853,34.021183,32.668022,31.201124,30.825718,31.21529,32.346207,35.204704,36.281517,33.39656,29.417881,27.76017,26.230043,23.081333
2016-01-08,18.465626,16.05706,13.649914,12.458618,13.022789,15.8821,21.405878,26.85711,27.890112,26.408257,26.14486,26.394127,26.692364,27.476297,29.504875,31.418026,34.861725,40.43826,43.0149,38.409355,33.24504,31.394058,29.862448,27.68536
2016-01-09,26.097443,24.074364,22.881847,22.61785,22.523506,21.655817,21.793161,24.473661,27.743893,30.021938,31.35917,31.520561,30.196035,27.971424,27.113289,27.863113,30.020021,34.754147,37.52164,34.029972,28.992132,26.707823,25.582806,22.53695
2016-01-10,17.540554,14.015413,11.511114,9.869078,8.724546,7.4897766,7.0339584,8.2402115,11.389845,15.725746,19.02274,20.750732,21.26056,20.150578,19.470657,20.44264,23.974361,29.758892,34.238937,32.823498,29.440573,27.418737,26.33688,24.42522
2016-01-11,20.52053,19.435219,18.272972,17.581879,17.90688,20.317768,27.71842,37.00443,41.246586,40.76844,40.517864,41.85684,41.847534,40.562725,39.445286,38.77837,40.32823,44.855194,46.93331,42.762745,36.569267,31.909882,28.549501,25.218145
2016-01-12,25.062902,24.520056,23.691452,23.417618,23.188885,24.606777,31.001467,38.380432,40.721592,39.356693,38.12695,37.994854,37.105305,36.17805,36.236732,36.496277,38.564304,43.361324,45.04523,39.997253,33.201748,30.037214,27.738503,24.463228
2016-01-13,19.675514,18.51779,16.937101,16.244766,16.424828,18.79441,25.09378,31.611628,33.93657,33.59974,33.307987,33.889038,33.677235,33.82783,34.754932,35.83011,38.69051,44.58277,47.701317,43.127117,36.653244,32.81586,29.570154,26.564386
2016-01-14,24.5957,24.025612,23.155903,22.60017,22.226194,24.13593,30.95226,37.41093,38.88096,36.423016,34.55933,34.208405,33.57016,33.726456,35.076122,36.34865,39.34124,44.86834,46.454674,41.29047,34.528015,31.071924,28.557983,25.554045
2016-01-15,25.690338,25.13089,24.432007,23.8181,23.337704,24.864092,31.096449,38.838203,42.093456,41.806595,41.519745,41.572304,40.004017,38.956745,38.795887,38.422897,40.254642,45.94274,49.45642,45.391792,39.08696,35.555283,32.214947,28.524248
