Date,h0,h1,h2,h3,h4,h5,h6,h7,h8,h9,h10,h11,h12,h13,h14,h15,h16,h17,h18,h19,h20,h21,h22,h23
2015-01-04,40.849464,37.654606,34.561714,30.884733,28.280893,27.499344,27.364168,28.306007,31.825542,35.318897,39.010895,41.17286,41.99447,39.42302,36.48093,34.39486,35.002037,42.300144,51.47671,54.29438,50.475826,46.698772,47.264767,46.586998
2015-01-05,38.84757,34.9942,32.781456,29.492655,27.783339,31.46944,39.927193,49.86676,53.122925,53.802628,53.293518,53.27865,51.551994,49.907867,49.044853,47.477333,49.11519,57.52767,66.524216,65.82394,57.85045,50.757156,50.5838,49.74853
2015-01-06,44.739857,42.013454,40.049656,36.5532,34.87029,38.10473,44.7697,52.572266,55.395527,55.026886,53.70779,52.93422,50.981766,49.210903,48.2741,47.034996,48.046604,54.553642,60.979225,59.47205,52.578495,48.200558,49.230457,49.10723
2015-01-07,43.301594,40.82227,38.715057,35.305542,33.061287,35.79257,42.2927,49.6727,53.044823,53.122658,52.394665,52.33252,50.79761,49.104275,47.664974,45.753067,45.714638,50.732197,56.659485,55.67096,49.135788,44.914207,46.6503,47.049187
2015-01-08,42.144455,39.94243,37.540688,34.1667,32.19291,35.33491,41.286983,48.387455,50.992905,50.408894,49.280422,49.146072,47.821552,46.399303,44.88482,43.36203,43.369476,47.296936,51.12374,49.232967,43.722565,40.45405,42.10454,41.827766
2015-01-09,39.45127,36.334194,33.02534,29.203762,27.924055,31.687284,38.61567,45.687366,47.57428,47.45037,46.33355,45.848473,44.739983,42.828384,40.887966,39.372314,38.646416,42.193775,46.42045,44.6224,39.619267,37.277164,39.13135,38.274345
2015-01-10,23.38845,20.430626,18.078867,14.312584,12.022156,13.218895,17.728231,21.948135,24.69319,27.656008,30.49909,33.076836,34.303284,31.45161,28.563461,27.049267,26.646805,30.43388,36.676384,37.72171,32.748993,28.762968,31.138878,32.888844
2015-01-11,24.562355,20.947502,18.150436,15.833288,13.894648,15.767496,19.435268,22.51788,24.670326,28.186916,31.566422,33.35408,33.170044,31.770374,28.997604,27.143475,27.364132,32.361576,40.415134,42.29607,39.248795,36.585957,37.213707,37.880894
2015-01-12,28.372152,25.548794,22.31631,19.350552,19.198616,25.16803,36.26599,47.305737,50.625896,50.273964,48.69252,48.8071,46.986107,45.42376,43.098633,40.44276,39.68342,45.994724,53.634613,53.784256,46.69774,40.50706,41.04247,39.778496
2015-01-13,30.013542,28.498857,25.385948,21.40578,20.36454,25.614733,36.097023,45.08268,47.13875,46.33856,45.441578,46.0076,44.453598,42.403744,40.26191,38.569286,38.574177,44.076103,50.34372,49.201363,42.01773,37.086216,37.95365,36.129776
2015-01-14,27.758162,26.776016,23.948023,20.115902,18.967325,23.959568,34.222374,42.895737,45.33076,44.802727,44.2163,45.18499,43.959717,42.02005,39.562904,37.22034,37.093674,42.904533,49.762665,48.77253,41.498177,36.19445,37.147835,35.607517
2015-01-15,36.752163,34.62184,31.26381,26.693575,24.965794,28.723343,37.650196,46.083805,47.678566,46.771553,46.44738,46.127586,44.534744,42.431828,40.555347,38.77556,38.53595,43.920837,49.773754,48.438354,41.63816,37.95734,39.323105,38.832825
2015-01-16,30.05058,27.787148,24.629272,20.415518,18.909092,23.797306,33.93869,43.500954,45.909275,44.822136,44.795616,45.29366,44.485626,42.864296,40.93809,39.454334,40.54187,46.49676,51.983444,50.232105,42.84059,37.94272,38.797867,37.053883
2015-01-17,40.766617,39.05922,36.402496,32.87337,30.280426,30.73796,34.69653,39.357243,41.456608,43.295177,44.45616,45.684208,44.943573,42.252808,40.0561,38.141983,38.0323,43.264755,48.560837,48.18572,42.612946,40.223732,42.55379,41.839058
2015-01-18,34.269165,31.906448,29.267824,25.309399,22.656366,23.560461,27.367514,30.273968,32.149357,34.06105,36.52695,38.80481,38.724827,35.41835,31.961487,29.671864,29.432228,35.21085,42.348366,43.69401,38.74134,36.153004,38.314087,37.431667
2015-01-19,38.866776,36.86802,34.411564,30.902582,29.54239,34.06907,43.848377,52.98797,54.486248,52.892494,52.31595,51.81865,50.52028,49.07067,47.98443,46.715424,47.213642,52.88205,58.291985,56.921944,49.54953,44.80272,45.35119,44.30071
2015-01-20,42.955276,41.27681,39.052284,35.527355,33.77051,37.257675,44.801437,52.50598,54.18905,53.085514,52.208557,51.312428,50.314217,48.73317,47.466423,46.254234,46.545586,51.42892,55.606598,53.885025,47.59908,44.08274,45.623447,44.825344
2015-01-21,42.69004,42.090096,40.558037,36.888596,34.611618,37.285004,44.91326,52.446926,54.94886,54.397522,53.247093,51.9115,50.912243,49.584404,48.11577,46.47657,46.819252,51.99083,56.590935,54.58229,48.20217,44.645954,46.051216,45.075237
2015-01-22,41.23579,41.24912,40.403915,37.11907,34.826206,37.471825,45.02775,52.343555,55.232315,55.00842,54.033745,52.764645,51.857746,50.21815,48.77144,47.22241,48.234104,54.114998,59.305023,57.28209,50.137608,46.214527,47.140053,45.878414
2015-01-23,44.242416,43.510426,42.248337,38.241306,36.02221,38.90149,47.02629,55.627773,59.44332,59.56846,58.08863,56.10727,54.23239,52.317253,50.55898,48.59598,49.241276,54.803204,60.21084,58.246117,50.449356,46.43132,47.75413,46.404476
2015-01-24,43.590504,42.079407,39.87616,35.841366,33.056644,33.445858,36.630676,41.068394,44.943768,47.52079,47.67235,47.676346,46.337334,43.103836,40.24201,38.587154,38.296635,44.25069,51.819283,51.615643,45.328632,42.1467,44.62411,42.969254
2015-01-25,42.98021,40.55658,37.771282,33.35606,30.532476,30.94132,32.591034,34.514187,36.26066,38.877335,41.22055,43.622444,43.264664,39.92846,36.270573,34.230618,34.266525,40.47399,48.99144,51.056034,46.361454,43.020935,44.796356,43.65496
2015-01-26,40.053165,38.033813,35.41107,31.403744,30.319586,34.8334,44.38801,53.741436,56.213455,54.87097,54.06655,53.891582,52.81401,50.8244,48.687534,46.989174,47.018032,52.58821,59.021294,57.855053,50.10274,44.917873,45.668743,44.8146
2015-01-27,42.75926,41.19512,38.934578,35.047874,33.742176,37.600956,45.956905,55.091976,58.005974,57.50721,56.06308,55.1022,53.684853,51.701622,50.182804,48.785652,48.96981,54.559776,60.925495,58.786335,50.408348,45.854195,47.23511,45.92199
2015-01-28,41.978954,40.116158,38.429226,34.71098,32.827618,36.11181,44.166115,53.537422,57.2107,57.110615,56.132675,55.75539,54.53966,52.572357,50.579174,48.241222,48.16059,53.564342,60.01259,57.486942,48.6934,44.461292,46.907143,45.551605
2015-01-29,39.17052,36.09803,33.115273,28.991562,27.610916,31.937819,41.445908,51.960827,55.62285,54.828766,53.05689,52.828255,52.058735,50.430305,48.588173,46.721855,46.833614,52.768913,59.328068,57.60357,49.483814,43.880833,44.84695,43.451767
2015-01-30,37.188366,34.90391,32.73618,29.005396,27.616646,31.9499,41.54824,51.495766,56.16519,56.123955,55.163185,54.552776,53.10756,51.480133,48.8788,46.22505,45.61382,50.12393,56.063576,53.934258,45.585457,41.434704,43.008575,40.993065
2015-01-31,40.667362,36.878967,32.488743,27.202345,24.73315,24.915434,29.248848,34.851593,40.123875,43.375286,44.973248,46.054325,45.142998,41.388676,38.296135,35.883102,36.026886,42.43212,51.165535,51.716965,44.07025,40.058,43.76371,42.65401
2015-02-01,37.581783,33.351585,29.733559,26.012428,23.572468,23.657942,25.641026,27.739605,30.62618,34.183205,37.544174,40.051254,40.260178,36.88384,33.357624,30.826715,30.978207,37.55653,47.48783,51.022736,45.803192,41.665398,43.678467,44.291576
2015-02-02,36.33595,32.284016,29.040455,24.930138,24.495087,30.228855,43.35481,55.265907,59.25418,58.74997,57.863617,56.847614,54.878605,52.72809,50.753475,48.247925,48.2019,54.089993,61.660126,61.798065,52.83431,46.325207,46.78383,45.89047
2015-02-03,43.820423,41.158546,38.834282,34.99475,33.66293,37.512985,47.004696,57.92878,62.109512,62.25969,60.928482,59.58793,57.629578,55.479847,53.677742,52.009018,52.55389,59.00979,66.739006,65.010864,54.65228,47.676277,48.42,47.10017
2015-02-04,42.756454,40.66573,39.07319,35.576122,34.00245,37.94802,47.244175,57.62738,62.429276,62.542767,61.190655,59.795624,57.457832,55.25702,53.441963,51.135487,51.35846,57.860832,65.816795,64.128525,53.84891,47.29553,47.94599,46.532066
2015-02-05,43.558903,41.665016,40.155037,36.652256,35.32616,39.092392,48.110657,57.886803,62.46501,62.51602,61.28401,59.92701,57.593052,55.39622,53.541645,50.97953,51.358845,58.965107,67.98195,66.61545,56.320847,49.69162,49.86152,48.148624
2015-02-06,42.831627,41.38889,39.886726,36.1811,34.606937,38.541294,47.78421,57.454895,62.08939,61.71721,60.675003,59.58295,56.73972,54.13526,51.348904,48.192997,47.16378,53.755154,63.03086,62.488,53.20833,47.872208,48.4725,46.81823
