Date,h0,h1,h2,h3,h4,h5,h6,h7,h8,h9,h10,h11,h12,h13,h14,h15,h16,h17,h18,h19,h20,h21,h22,h23
2016-12-27,24.21966,23.342678,22.768562,22.591393,23.136017,24.07341,25.473566,26.37576,26.718904,26.957153,26.952354,27.003641,26.952297,26.862448,27.099476,27.541185,28.08513,28.557537,28.547558,28.0282,27.548162,27.146593,26.566484,25.805754
2016-12-28,25.589613,24.9197,24.628878,24.573904,25.107922,26.236877,27.8159,29.137516,29.625484,29.750683,29.616346,29.667578,29.77405,29.884418,30.148697,30.561504,31.316725,31.80262,31.54493,30.478064,29.580914,28.919907,28.330555,27.65031
2016-12-29,29.018173,28.487848,28.238977,28.006866,28.235767,28.621126,29.249922,29.900043,30.161055,30.251759,30.278587,30.077251,30.029787,29.928518,29.971085,30.193846,30.530766,30.673708,30.505243,30.108875,29.604359,29.232141,28.770914,28.28709
2016-12-30,27.70788,27.244078,27.042057,26.918648,27.191471,27.720196,28.38187,29.06187,29.185251,29.284555,29.258537,29.10393,29.093328,29.039227,29.020191,29.207195,29.575304,29.613705,29.453997,29.11286,28.629637,28.264454,27.750746,27.233742
2016-12-31,26.102612,25.328936,24.930874,24.75185,25.044254,25.555542,26.341764,27.032763,27.225248,27.5158,27.629452,27.717903,27.755922,27.723387,27.746956,27.98061,28.300468,28.562704,28.474613,28.222025,27.86717,27.346767,26.813288,26.207067
2017-01-01,25.030682,24.264988,23.818321,23.686077,24.181337,24.760855,25.52996,26.150614,26.565435,27.12996,27.664526,28.141987,28.546371,28.663647,28.93831,29.272745,29.930834,30.391317,30.691431,30.324108,29.731564,29.421803,28.757475,28.171173
2017-01-02,28.27664,27.674227,27.459415,27.496244,27.942522,28.827015,30.293922,31.522648,31.989286,31.936384,31.764896,31.918102,32.03418,32.238777,32.82751,33.586388,34.68201,35.29291,34.98976,33.62627,32.21275,31.307547,30.72559,29.977335
2017-01-03,29.628658,28.822826,28.4583,28.19427,28.645582,29.524208,31.006588,32.146946,32.61765,32.420147,32.015583,31.600563,31.349335,31.047058,30.896795,31.039038,31.11487,31.307816,30.938417,30.461164,29.78821,29.281788,28.69208,27.844418
2017-01-04,28.229826,27.513205,27.205593,27.160816,27.747017,28.549234,29.904104,30.711836,31.195602,31.208214,31.151783,31.220013,31.19913,31.354088,31.61359,31.995037,32.577442,33.29269,33.11879,32.479717,31.684113,31.155872,30.430853,29.793802
2017-01-05,30.297878,29.492859,29.215858,29.178244,29.800976,30.467209,33.229362,37.516033,40.83535,41.69743,41.374516,41.441143,41.469017,42.82103,44.801598,47.83143,50.2008,51.954254,50.680557,47.004677,42.03394,38.26999,36.36145,34.86657
