Date,h0,h1,h2,h3,h4,h5,h6,h7,h8,h9,h10,h11,h12,h13,h14,h15,h16,h17,h18,h19,h20,h21,h22,h23
2016-12-27,21.18928,20.696377,20.347439,20.25888,20.563377,21.62327,23.837198,25.401472,25.545828,25.620092,25.726488,25.294937,24.77328,24.482605,24.45725,24.463375,25.466507,29.575106,29.258825,27.900583,27.257095,25.699038,23.971071,22.888584
2016-12-28,23.042818,22.47905,22.177998,22.16367,22.223867,23.614891,28.581806,30.729942,29.10316,28.884226,28.629435,27.31317,26.052017,25.26636,24.869612,24.791136,26.587381,31.568851,31.635317,29.402243,28.88635,27.143402,24.73712,23.514175
2016-12-29,23.142906,22.836107,22.601336,22.510702,22.418749,23.269485,27.09453,28.996204,28.461004,28.484035,28.374895,27.299316,26.27022,25.834873,25.686167,25.5647,26.666412,32.533356,33.00347,30.182264,29.51793,28.105907,25.72786,24.22634
2016-12-30,23.551483,23.260948,23.02441,22.92244,22.78034,23.413622,27.376877,30.661043,29.818182,29.546291,29.362791,28.10785,26.800438,26.162952,25.96119,25.765024,27.067179,32.677223,33.61229,30.492401,29.754873,28.423145,26.041359,24.545214
2016-12-31,24.215868,23.817957,23.390614,23.026817,22.741625,22.792488,23.900532,26.024446,27.130806,27.336214,26.589369,25.335669,24.479074,23.925423,23.668608,23.827324,24.707026,27.072945,28.30109,27.259556,26.39182,25.421719,24.368464,23.412186
2017-01-01,22.696106,22.289986,21.9088,21.649872,21.61545,21.898582,22.440525,23.260567,23.822119,24.23849,24.237408,23.858686,23.595709,23.409206,23.380856,23.600891,24.395515,26.684984,28.343576,27.269918,26.509127,25.542559,24.394958,23.281061
2017-01-02,23.043316,22.538013,22.206453,22.143425,22.219685,22.995308,25.782309,27.69437,28.133663,28.147753,27.773254,26.834415,26.080996,25.547438,25.292604,25.103888,26.840498,31.458878,30.8864,28.550804,27.422564,26.077469,24.496956,23.573807
2017-01-03,21.864244,21.234041,20.707754,20.398975,20.433893,21.53976,24.29941,26.499195,26.892387,27.070501,27.155935,26.53976,26.01907,25.696335,25.679783,25.589207,27.169231,32.029102,32.466194,28.969862,27.409328,26.209217,24.52727,23.323385
2017-01-04,22.02264,21.49749,21.127588,20.831032,20.803062,22.396042,25.634455,27.722956,27.765776,28.023697,28.289137,27.735788,27.25322,27.124779,27.282734,27.389093,29.878214,36.855286,39.17856,34.458195,32.083096,30.124664,27.178637,25.17672
2017-01-05,24.566502,24.3868,24.109749,24.118633,24.18511,25.405695,29.766228,33.484165,33.014637,32.293945,31.73784,30.19777,28.546993,27.574827,27.261946,26.88481,28.774933,36.01376,40.60352,35.935493,32.826237,30.570553,28.116976,26.256588
2017-01-06,26.362446,25.988512,25.603674,25.654533,25.865381,27.137117,31.96746,38.23743,38.60094,37.40191,36.413223,34.311737,31.788166,30.105396,29.33558,28.718512,30.44152,37.657997,43.15874,40.184647,36.710964,34.048027,31.135105,28.393602
2017-01-07,29.080412,28.306217,27.576376,27.116653,26.593935,26.643013,27.890182,30.921152,34.313225,35.257298,34.29487,32.029114,29.586891,27.882479,27.02342,26.670237,27.740454,32.265755,38.14866,36.899826,32.985874,30.32476,28.358393,26.583746
2017-01-08,26.970163,26.770931,26.326359,25.910591,25.42894,25.194437,25.485613,26.991161,28.873032,29.608599,28.983498,27.672209,26.273743,25.264917,24.727345,24.395325,25.058517,29.102608,35.914654,36.742817,32.476303,29.424313,27.517256,25.63027
2017-01-09,27.568186,26.493395,25.67599,25.30455,25.542295,26.89948,31.542553,37.15457,38.305923,36.368595,34.64086,32.708908,30.472895,28.761894,28.002218,27.862051,28.71848,34.358604,39.405357,34.499107,30.797493,28.992872,26.840736,24.8658
2017-01-10,21.743584,21.318531,20.663555,20.207907,20.136868,21.392256,24.661514,28.792776,30.256475,30.27255,29.78454,28.281319,26.774736,25.78345,25.39328,25.247242,25.879068,30.296192,33.30166,29.501068,26.867556,25.51772,24.191278,23.078386
2017-01-11,21.1427,20.510218,19.839878,19.545456,19.88424,21.393507,24.124352,26.47127,26.799238,26.79395,26.737352,25.94701,25.286608,24.940048,24.808754,24.67806,25.440706,28.422632,28.803232,27.477299,26.585642,25.343655,23.677958,22.515303
2017-01-12,20.365004,19.59954,18.967178,18.851795,19.574532,21.412975,23.859802,25.704636,26.008703,26.101038,26.207397,25.783506,25.354897,25.094557,25.049673,24.8318,25.433765,29.13942,30.174898,28.202688,26.9362,25.653015,24.074472,23.01857
2017-01-13,22.5141,22.019995,21.611198,21.48552,21.8656,23.787716,26.928064,28.843214,28.738037,28.7948,29.010006,28.430386,27.799143,27.407679,27.279934,27.062134,29.59278,36.013577,36.36019,31.891834,29.889236,28.470793,26.373835,25.20294
2017-01-14,25.469477,25.174782,24.777536,24.441008,24.274317,24.929482,26.827505,29.682285,30.815214,31.383472,31.272154,30.146307,28.999989,28.217972,27.877941,27.812784,28.815191,33.674927,37.323742,33.429817,31.299255,29.699228,27.676796,26.03154
2017-01-15,24.349163,23.538908,22.860554,22.329033,22.047192,22.722887,24.34877,26.005898,26.461266,26.849901,26.567343,25.754536,25.185823,24.921831,24.823595,25.16781,26.013462,31.214884,36.662018,33.87912,30.98558,29.036821,27.19376,25.377907
2017-01-16,24.670862,24.256207,23.685944,23.330631,23.328949,25.956318,31.951912,35.633766,33.951866,33.372677,33.526978,32.41643,31.140257,30.245052,29.582228,29.14609,30.527674,36.968784,38.68013,34.59328,32.193016,29.297342,26.41544,25.10452
2017-01-17,22.932138,22.406708,21.580355,21.138136,21.496332,23.893932,28.582497,31.947443,31.814293,31.519833,31.943914,31.089577,30.2214,29.779072,29.537563,29.53056,30.36417,35.650665,37.384075,34.384823,31.364689,28.462692,25.707384,24.029968
2017-01-18,23.05531,22.61093,21.917727,21.373184,21.645021,24.92923,30.98264,34.2622,33.11157,32.561478,33.414803,32.93055,32.12071,31.631554,31.245268,31.190538,33.106377,40.25038,43.41394,39.27424,34.72688,31.236639,27.438639,25.063133
2017-01-19,24.808111,24.256746,23.46647,22.941147,22.95381,26.573057,35.45334,41.27559,37.59515,35.587406,36.111496,35.18737,33.81286,32.72858,31.74797,31.290167,31.911133,38.281513,42.8718,40.184982,35.487984,31.07373,27.599005,25.440296
2017-01-20,23.306862,22.651117,21.75302,21.433064,21.834854,25.018854,31.861835,37.056015,34.789555,33.202915,34.003136,33.339596,32.2744,31.353231,30.472387,29.92962,30.886677,37.296993,39.60868,36.202698,32.317112,28.576193,25.412725,23.446814
2017-01-21,21.907827,20.831207,19.605663,18.682377,18.525198,19.919266,22.938456,26.563421,27.165012,27.18452,27.296946,26.744478,25.948895,25.324066,24.84515,24.913805,25.123156,29.544046,34.688164,32.740997,27.743298,25.019531,23.119976,21.003407
2017-01-22,20.299332,18.587147,17.173876,16.10283,15.670294,16.837952,19.305153,21.563034,22.478176,23.266693,23.74054,23.751741,23.546257,23.308151,23.144457,23.495275,24.032692,27.209562,30.939095,28.858034,25.50415,24.065233,22.352062,20.50523
2017-01-23,20.40913,18.96312,17.83083,17.401217,18.370392,22.85493,29.226795,31.822247,31.285582,31.413616,32.73404,33.05922,32.82937,32.857117,32.78409,32.29415,33.796844,41.070477,42.02908,37.201355,33.430256,30.179195,26.367113,24.086117
2017-01-24,22.070349,20.840483,19.541828,18.936413,19.416477,24.06889,32.656364,37.52282,35.04306,33.781445,34.984695,34.887337,34.170307,33.4504,32.711395,31.97202,32.91111,40.05852,42.513977,38.24431,34.294857,30.259384,26.486898,24.249344
2017-01-25,22.10599,21.072742,19.942898,19.406124,19.79396,23.702099,30.933529,34.505726,32.321274,30.71737,31.451336,30.889496,29.98578,29.305273,28.726357,28.31288,29.631224,36.58715,38.44689,34.17501,30.705063,27.676964,24.672108,22.726997
2017-01-26,21.643528,20.898872,20.06858,19.605946,20.29361,24.5065,31.207052,34.727745,32.728283,31.628473,33.192207,33.35968,32.559326,32.08765,31.69822,31.11719,33.386917,42.634186,45.047394,39.066788,34.417004,31.122831,27.219975,24.669832
2017-01-27,24.267046,23.89028,23.09677,22.561241,22.59301,26.265734,34.839912,41.2361,37.214546,34.919197,35.6979,35.1756,33.782948,32.566635,31.524185,30.491426,31.389807,39.349808,43.226124,39.224358,35.067394,31.23754,27.979513,25.79548
2017-01-28,25.16781,24.787449,24.138523,23.585907,23.184025,24.658455,29.72089,34.493603,34.076878,32.1625,32.06545,31.032747,29.35268,28.044294,27.289448,26.884747,27.56081,34.750027,41.075706,36.831642,31.610271,28.969307,26.965359,25.249374
2017-01-29,23.27213,22.726713,22.036762,21.52593,21.467546,22.876871,25.022861,27.297802,27.533792,26.880497,26.942179,26.761345,26.323046,26.004976,25.887747,26.012812,26.836721,32.354958,38.000824,33.903904,30.611486,29.031973,26.895119,25.332554
2017-01-30,24.136827,23.511658,22.564703,21.833775,21.513735,26.750803,41.70826,51.50162,45.540752,41.563347,40.89531,38.459846,35.38923,33.106274,31.171478,29.064848,29.859203,38.975513,44.4848,43.02261,38.712048,33.314606,28.848913,26.121216
2017-01-31,23.26212,22.723509,21.80903,21.350533,21.239174,24.004501,33.216717,40.429726,35.446545,33.204926,34.204,33.159943,31.244244,29.912888,28.804476,28.003387,28.30035,35.153786,38.895565,35.889088,32.27101,28.571949,26.138641,24.100246
2017-02-01,22.026625,21.58805,20.917742,20.683155,20.919487,23.242489,28.561684,32.928394,30.147997,29.162846,30.0907,29.5759,28.494877,27.932642,27.44374,26.842037,27.414894,33.20039,35.158325,32.949997,30.996212,28.546276,26.192156,24.384232
2017-02-02,23.887646,23.347519,22.51851,21.61791,20.837004,25.814354,41.51399,52.313416,45.86242,39.490482,37.17575,34.22908,31.556072,30.203367,29.088528,27.37815,27.614382,36.082306,42.602787,41.54429,37.26085,32.18051,28.131187,25.63208
2017-02-03,25.37588,25.014948,24.45648,24.090553,23.578735,27.60549,42.009995,51.434082,43.54326,37.41771,35.520985,33.22282,31.102541,29.803318,28.702871,27.396524,27.56261,34.33344,39.955612,38.14882,33.48713,29.501757,27.110716,25.482157
2017-02-04,24.402426,24.17285,23.669304,23.295725,22.880604,23.797945,28.825947,33.623154,32.52688,30.31854,29.698475,28.430122,26.803827,25.77422,25.177128,24.92296,25.069515,28.853586,33.62999,30.910208,27.824493,26.44043,25.5678,24.387999
2017-02-05,22.678335,22.114933,21.565083,20.97422,20.795351,21.474104,22.782133,24.75183,25.435322,25.491898,25.277636,24.790705,24.492182,24.164162,23.824076,23.75751,24.455442,27.549658,30.291344,28.519949,26.809706,25.931715,24.672216,23.557775
2017-02-06,22.098583,21.41771,20.775726,20.653255,21.128784,25.080986,33.546158,37.03556,32.684544,31.272018,31.523012,30.589285,29.276783,28.168041,27.186705,26.313995,26.537956,31.24974,33.331062,32.193027,30.614386,27.615198,25.264383,23.827038
2017-02-07,20.632322,19.423702,18.458706,18.204674,18.826822,22.05761,27.6861,29.696709,28.52694,28.02836,28.535276,28.02784,27.26033,26.740835,26.386934,26.117317,26.974812,32.412796,33.938515,30.469368,28.125914,26.054493,23.622725,21.932295
2017-02-08,20.619955,19.743866,19.122196,18.978142,19.831936,23.247498,27.500856,28.60421,28.309994,28.372929,29.017454,29.09999,28.846275,28.818432,28.75975,28.3837,29.42925,35.396694,37.304047,33.221725,30.49273,28.610193,25.95119,24.332458
2017-02-09,23.288551,23.14843,22.765251,21.945583,21.580524,25.601963,36.6469,43.62327,39.29621,35.98446,35.549686,34.20254,32.22032,31.14492,30.136024,28.932356,30.763285,41.675552,48.622326,45.77912,39.04798,33.550117,28.644762,25.338274
2017-02-10,26.010265,25.276731,24.610989,24.3516,24.206663,28.403948,41.111225,44.845333,36.81419,32.6471,32.030354,30.564377,28.658768,27.174772,26.267475,25.824553,25.627964,28.64351,31.981674,30.376944,28.158049,26.5324,25.309938,24.181719
2017-02-11,22.145906,21.538254,20.9622,20.52331,20.50337,21.320583,23.26849,25.933884,26.678331,26.43039,26.119938,25.380302,24.7304,24.31291,23.819847,23.552528,23.873375,26.715918,29.547808,28.682987,25.55338,23.854546,22.70885,21.411234
